ó\îıëIî≤No.,Brixè„,BrixíÜ,BrixïΩãœ,ëIî≤(1/0)
1,15.4,13.4,14.4,1
2,15.2,12,13.6,1
3,15.4,7,11.2,0
4,12.4,6.8,9.6,0
5,18.4,10,14.2,1
6,16.4,8.2,12.3,0
7,19.2,12,15.6,1
8,15.8,10,12.9,0
9,18,13.8,15.9,1
10,18.8,14.6,16.7,1
11,16.4,10,13.2,0
12,14,8.4,11.2,0
13,16,10.2,13.1,0
14,18.4,14.4,16.4,1
15,12.4,15,13.7,1
16,16.6,10,13.3,0
17,15.4,11.8,13.6,0
18,16.8,13,14.9,0
19,17,7.2,12.1,0
20,14.2,7.2,10.7,0
21,12.2,11.2,11.7,0
22,18.2,13.2,15.7,1
23,15.2,10,12.6,0
24,17.6,13,15.3,1
25,18.4,10.6,14.5,1
26,14,7.8,10.9,0
27,13.4,6.8,10.1,0
28,17.4,9,13.2,1
29,17.4,7.6,12.5,0
30,16,9.8,12.9,0
31,17.6,10.8,14.2,0
32,18.8,10.6,14.7,1
33,18.2,10.4,14.3,1
34,18.8,11.4,15.1,1
35,19,10,14.5,1
36,17,10.6,13.8,0
37,15.6,14.2,14.9,1
38,14,12,13,0
39,12.6,8,10.3,0
40,14.2,6.4,10.3,0
41,16,10,13,0
42,15.4,8.6,12,0
43,16,13,14.5,1
44,17.4,13,15.2,1
45,16,7.6,11.8,0
46,17.8,9,13.4,1
47,14.8,11.2,13,0
48,14,11.2,12.6,0
49,14.4,10.2,12.3,0
50,16.2,10.6,13.4,1
51,16.2,7.2,11.7,0
52,14.4,11.6,13,0
53,11,7.2,9.1,0
54,17.4,7,12.2,1
55,15.4,8,11.7,0
56,13.4,11.6,12.5,0
57,15.8,11.2,13.5,0
58,14.2,9.8,12,0
59,16,9,12.5,1
60,15.2,8,11.6,0
61,17,10.2,13.6,0
62,17.4,14,15.7,0
63,17.4,13,15.2,0
64,15.8,14,14.9,1
65,16.4,10.8,13.6,0
66,16.2,10,13.1,0
67,16.8,10.2,13.5,0
68,16.6,10.4,13.5,1
69,16.8,10.6,13.7,0
70,17,8.8,12.9,0
71,15.2,10,12.6,0
72,14.2,6,10.1,1
73,16.6,10,13.3,0
74,17,9.4,13.2,1
75,14,9.2,11.6,0
76,16,14.4,15.2,1
77,15.8,8.6,12.2,0
78,15.2,12,13.6,0
79,17.4,10,13.7,1
80,16,11.6,13.8,0
81,17.2,11,14.1,1
82,17,9.4,13.2,1
83,17,12.4,14.7,1
84,18,16,17,0
85,17,11.2,14.1,0
86,16.6,13.2,14.9,1
87,16,8.2,12.1,0
88,18,10.6,14.3,1
89,16,14.4,15.2,0
90,18,11.2,14.6,1
91,17,12.2,14.6,1
92,16,9.4,12.7,0
93,16.2,7.4,11.8,0
94,16.4,9.6,13,0
95,17.2,11,14.1,0
96,19.8,14.8,17.3,1
97,19.4,11.8,15.6,1
98,19,17.8,18.4,1
99,18.6,9,13.8,1
100,17.8,12.4,15.1,1
101,19,15,17,1
102,19,14.4,16.7,1
103,20.6,14.2,17.4,1
104,20.8,11.6,16.2,1
105,22,20,21,1
106,19,16.6,17.8,1
107,15.2,11.4,13.3,0
108,19,11,15,1
109,20.6,14.8,17.7,1
110,17.6,11.8,14.7,0
111,17.4,12.6,15,1
112,17.2,13,15.1,0
113,17.2,12.4,14.8,1
114,16.4,10.8,13.6,0
115,18.6,12.8,15.7,0
116,16.2,11,13.6,0
117,16.4,8,12.2,0
118,15.2,8.6,11.9,0
119,13.6,12.4,13,0
120,17,12.4,14.7,1
121,16.4,12,14.2,0
122,16.2,11.2,13.7,0
123,17.2,7.4,12.3,1
124,18.4,9.2,13.8,1
125,16.2,11.2,13.7,0
126,15,8.4,11.7,0
127,18.2,15.4,16.8,1
128,17.6,18,17.8,1
129,14,12.4,13.2,0
130,17.4,14,15.7,1
131,16.8,10.8,13.8,0
132,18.8,14,16.4,0
133,19,13.6,16.3,1
134,16.4,13,14.7,0
135,17.4,11.2,14.3,0
136,16.8,13.2,15,1
137,16.2,9.2,12.7,0
138,18,9.4,13.7,1
139,17.4,6.8,12.1,0
140,12.4,7.4,9.9,0
141,17,7.4,12.2,1
142,16.8,13.4,15.1,0
143,15,7.2,11.1,0
144,18,11,14.5,1
145,17.6,10.8,14.2,1
146,16,7.4,11.7,0
147,15.4,8,11.7,0
148,18.2,7.8,13,1
149,16.8,15,15.9,1
150,15.6,8.2,11.9,0
151,17.2,10.6,13.9,1
152,16.2,9.8,13,0
153,16.2,8.6,12.4,0
154,21.2,12.2,16.7,1
155,16.8,9.4,13.1,0
156,19.2,14.2,16.7,1
157,13.6,9.6,11.6,0
158,12.6,7.4,10,1
159,17.2,13.8,15.5,1
160,19.4,9.8,14.6,0
161,18.4,10,14.2,1
162,15.8,9.8,12.8,1
163,12.2,10.2,11.2,0
164,16.4,12.2,14.3,0
165,21,17,19,1
166,21.2,15,18.1,1
167,18.2,12,15.1,1
168,16.8,6.4,11.6,0
169,15,8.2,11.6,0
170,19.8,15.8,17.8,1
171,18,11.2,14.6,1
172,20,13.2,16.6,1
173,20.2,16.2,18.2,1
174,20,13.4,16.7,1
175,18.2,14,16.1,1
176,18.6,5.6,12.1,0
177,18,11.6,14.8,1
178,15.6,9.2,12.4,0
179,16.6,8.6,12.6,0
180,17,14.6,15.8,0
181,16.2,11,13.6,0
182,17,11.4,14.2,0
183,19,14.6,16.8,1
184,19.4,12.2,15.8,1
185,19.6,10,14.8,1
186,18.4,11.6,15,1
187,18,14.4,16.2,1
188,17.8,9,13.4,1
189,17.4,11,14.2,0
190,19.4,16.4,17.9,1
191,18,13.2,15.6,1
192,18.6,9.2,13.9,1
193,19.6,13.4,16.5,1
194,16.8,11.4,14.1,0
195,20,10,15,1
196,21,16.4,18.7,1
197,17.8,12,14.9,1
198,19.4,15.2,17.3,1
199,19,9.4,14.2,1
200,17.6,13,15.3,1
201,19.4,14,16.7,1
202,14.2,8,11.1,0
203,15.8,8.4,12.1,0
204,17,8.2,12.6,0
205,15,10,12.5,0
206,18.8,16.4,17.6,1
207,15,13.2,14.1,0
208,14.6,9,11.8,0
209,18.8,13.4,16.1,0
210,18.4,14.6,16.5,1
211,18.4,14.2,16.3,0
212,16.8,13.8,15.3,0
213,15.2,10.4,12.8,0
214,16.6,12.2,14.4,0
215,16.4,9.2,12.8,0
216,17,10,13.5,0
217,18.6,8.6,13.6,1
218,20,17.4,18.7,1
219,18,11,14.5,0
220,20,12,16,1
221,18.4,10.2,14.3,0
222,20.4,13.8,17.1,1
223,16.4,11,13.7,0
224,18.6,16.8,17.7,1
225,19,12.2,15.6,0
226,18.2,14.4,16.3,1
227,17.8,10,13.9,1
228,18.8,13,15.9,1
229,19,11,15,1
230,16.8,14,15.4,0
231,17.2,11.4,14.3,0
232,19.4,16.8,18.1,1
233,18.2,7.8,13,0
234,15.4,10.2,12.8,0
235,19.4,15.4,17.4,1
236,18.2,12.4,15.3,1
237,17.4,9.2,13.3,0
238,13,7,10,0
239,20,13.4,16.7,1
240,19.2,14.2,16.7,1
241,18,7,12.5,1
242,19.2,10.4,14.8,1
243,19.2,11.6,15.4,1
244,10.6,7.4,9,0
245,18,12,15,1
246,18.2,8.8,13.5,0
247,20,13,16.5,1
248,22,19,20.5,1
249,20.2,16,18.1,1
250,21,17,19,1
251,20.4,10.6,15.5,1
252,20,11.8,15.9,1
253,19,17.4,18.2,1
254,19,11,15,1
255,17,9.2,13.1,1
256,16.2,11,13.6,0
257,17,9,13,0
258,20.4,15.8,18.1,1
259,20.6,16.6,18.6,1
260,18,8,13,1
261,18,8.4,13.2,1
262,18,8,13,0
263,18,11,14.5,1
264,15.4,10.2,12.8,1
265,17,12,14.5,0
266,16,8.8,12.4,1
267,19.4,14.2,16.8,1
268,12.2,10,11.1,0
269,18.4,12,15.2,1
270,16.4,8.8,12.6,0
271,15.4,7.2,11.3,0
272,17.4,10.2,13.8,0
273,16.2,5.6,10.9,0
274,15.8,8.2,12,1
275,18.4,9.8,14.1,1
276,15.8,11.2,13.5,0
277,19.2,11.4,15.3,1
278,16.2,10,13.1,0
279,17.4,11,14.2,0
280,15,14,14.5,0
281,17.6,14.8,16.2,0
282,16,8.8,12.4,0
283,19.4,9,14.2,1
284,18,9.4,13.7,1
285,18,17,17.5,1
286,16.6,11,13.8,0
287,15.6,8.8,12.2,0
288,17.6,8.2,12.9,0
289,19.2,11.4,15.3,1
290,18,11,14.5,0
291,20,15,17.5,0
292,18.8,11.2,15,0
293,19.2,9,14.1,0
294,15,11.2,13.1,0
295,15.4,9.4,12.4,0
296,21,13,17,0
297,18,14,16,0
298,18.6,8.8,13.7,0
299,18,6.6,12.3,0
300,18.4,8.4,13.4,0
301,18.4,14.2,16.3,0
302,17.8,14.2,16,0
303,18.4,17,17.7,1
304,18.4,17.8,18.1,1
305,17,15.8,16.4,1
306,19.2,14.4,16.8,0
307,18.6,17,17.8,1
308,18,15.8,16.9,1
309,17,16.4,16.7,1
310,18.8,13.2,16,0
311,18.8,13.4,16.1,0
312,19,17.2,18.1,1
313,18,14.8,16.4,1
314,19,18,18.5,1
315,16.8,15.2,16,0
316,19.2,15.8,17.5,1
317,18.2,19.2,18.7,1
318,19,16.4,17.7,1
319,16,14.8,15.4,1
320,17,10.2,13.6,0
321,18.2,17.4,17.8,1
322,19.2,16.4,17.8,1
323,18,13.8,15.9,0
324,17.2,15.6,16.4,1
325,16.8,13.8,15.3,0
326,15.6,10.2,12.9,0
327,17.6,17.2,17.4,1
328,17.2,15,16.1,1
329,18,14.2,16.1,0
330,17,16.4,16.7,1
331,19,12,15.5,0
332,19,10.8,14.9,0
333,18,14.2,16.1,0
334,19,14,16.5,0
335,18.2,11,14.6,0
336,17.2,14.2,15.7,0
337,18.4,13.8,16.1,0
338,17.4,15.2,16.3,1
339,16,14.2,15.1,0
340,18.4,17.2,17.8,1
341,16.4,11.2,13.8,0
342,17.8,13.8,15.8,1
343,16.2,12,14.1,0
344,18,13,15.5,0
345,17.6,14.2,15.9,0
346,17,14.4,15.7,0
347,18,17.8,17.9,1
348,16.8,15,15.9,1
349,18,13.2,15.6,0
350,18,14,16,0
351,17.8,13.2,15.5,0
352,16.4,13.2,14.8,0
353,19,14.8,16.9,1
354,14.2,12,13.1,0
355,18.8,16.8,17.8,1
356,17.8,16.4,17.1,1
357,18.4,16.4,17.4,1
358,15.6,12,13.8,0
359,17.4,15.2,16.3,1
360,18.4,17.4,17.9,1
